Period,Population per year,Live births per year,Deaths per year,Natural change per year,CBR*,CDR*,NC*,TFR*,IMR*
1950,36 836 000,"1,697,000","1,010,000","687,000",45.6,27.1,18.5,6.42,184.0
1951,37 543 000,"1,731,000","1,028,000","702,000",45.7,27.1,18.5,6.42,183.2
1952,38 263 000,"1,760,000","1,044,000","716,000",45.6,27.0,18.5,6.39,181.6
1953,38 986 000,"1,797,000","1,056,000","741,000",45.7,26.8,18.8,6.40,180.4
1954,39 710 000,"1,831,000","1,074,000",757 000,45.7,26.8,18.9,6.40,179.0
1955,40 455 000,"1,869,000","1,088,000","781,000",45.7,26.6,19.1,6.40,177.9
1956,41 223 000,"1,909,000","1,109,000","800,000",45.8,26.6,19.2,6.41,176.9
1957,42 010 000,"1,948,000","1,124,000","824,000",45.9,26.5,19.4,6.40,176.0
1958,42 817 000,"1,988,000","1,145,000","843,000",46.0,26.5,19.5,6.39,175.1
1959,43 613 000,"2,026,000","1,159,000","866,000",46.0,26.3,19.7,6.38,173.8
1960,44 476 000,"2,072,000","1,179,000","893,000",46.1,26.2,19.9,6.36,172.4
1961,45 381 000,"2,120,000","1,192,000","928,000",46.2,26.0,20.2,6.35,171.0
1962,46 330 000,"2,174,000","1,214,000","960,000",46.4,25.9,20.5,6.36,169.6
1963,47 314 000,"2,220,000","1,224,000","996,000",46.4,25.6,20.8,6.35,167.2
1964,48 332 000,"2,270,000","1,242,000","1,028,000",46.5,25.4,21.0,6.36,165.9
1965,49 381 000,"2,320,000","1,258,000","1,061,000",46.5,25.2,21.3,6.37,165.0
1966,50 471 000,"2,373,000","1,281,000","1,092,000",46.5,25.1,21.4,6.39,164.2
1967,51 570 000,"2,424,000","1,365,000","1,059,000",46.5,26.2,20.3,6.40,165.8
1968,52 643 000,"2,478,000","1,349,000","1,129,000",46.6,25.4,21.2,6.42,163.6
1969,53 577 000,"2,533,000","1,367,000","1,166,000",46.6,25.2,21.4,6.44,162.6
1970,54 945 000,"2,595,000","1,353,000","1,241,000",46.7,24.3,22.3,6.47,160.7
1971,56 194 000,"2,671,000","1,348,000","1,323,000",47.0,23.7,23.3,6.53,156.9
1972,57 481 000,"2,741,000","1,343,000","1,398,000",47.1,23.1,24.0,6.58,153.0
1973,58 866 000,"2,819,000","1,341,000","1,479,000",47.3,22.5,24.8,6.63,149.0
1974,60 344 000,"2,922,000","1,340,000","1,583,000",47.8,21.9,25.9,6.70,144.9
1975,61 971 000,"3,021,000","1,336,000","1,684,000",48.1,21.3,26.8,6.77,141.0
1976,63 731 000,"3,106,000","1,324,000","1,781,000",48.1,20.5,27.6,6.81,137.2
1977,65 585 000,"3,203,000","1,323,000","1,880,000",48.1,19.9,28.2,6.86,133.8
1978,67 594 000,"3,308,000","1,340,000","1,968,000",48.2,19.5,28.7,6.92,130.7
1979,69 673 000,"3,385,000","1,367,000","2,017,000",47.9,19.3,28.5,6.89,128.1
1980,71 828 000,"3,460,000","1,397,000","2,063,000",47.5,19.2,28.3,6.85,126.1
1981,74 075 000,"3,537,000","1,426,000","2,111,000",47.1,19.0,28.1,6.82,124.4
1982,76 276 000,"3,613,000","1,462,000","2,151,000",46.7,18.9,27.8,6.80,123.5
1983,78 500 000,"3,704,000","1,494,000","2,210,000",46.5,18.8,27.8,6.78,123.1
1984,80 203 000,"3,726,000","1,524,000","2,202,000",45.8,18.7,27.1,6.70,123.2
1985,82 472 000,"3,777,000","1,571,000","2,206,000",45.2,18.8,26.4,6.62,123.5
