Period,Population,Livebirths,Deaths,Natural_change,CBR,CDR,NC,TFR,IMR,Pop_Growth(%),Birth_Death_Ratio,Natural_Growth(%),IMR_Change,TFR_3yr_Avg
1950,36836000,1697000,1010000,687000,45.60,27.10,18.50,6.42,184.00,Null,1.68,1.87,Null,Null
1951,37543000,1731000,1028000,702000,45.70,27.10,18.50,6.42,183.20,1.92,1.68,1.87,-0.80,Null
1952,38263000,1760000,1044000,716000,45.60,27.00,18.50,6.39,181.60,1.92,1.69,1.87,-1.60,6.41
1953,38986000,1797000,1056000,741000,45.70,26.80,18.80,6.40,180.40,1.89,1.70,1.90,-1.20,6.41
1954,39710000,1831000,1074000,757000,45.70,26.80,18.90,6.40,179.00,1.86,1.70,1.91,-1.40,6.40
1955,40455000,1869000,1088000,781000,45.70,26.60,19.10,6.40,177.90,1.88,1.72,1.93,-1.10,6.40
1956,41223000,1909000,1109000,800000,45.80,26.60,19.20,6.41,176.90,1.90,1.72,1.94,-1.00,6.41
1957,42010000,1948000,1124000,824000,45.90,26.50,19.40,6.40,176.00,1.91,1.73,1.96,-0.90,6.40
1958,42817000,1988000,1145000,843000,46.00,26.50,19.50,6.39,175.10,1.92,1.74,1.97,-0.90,6.40
1959,43613000,2026000,1159000,866000,46.00,26.30,19.70,6.38,173.80,1.86,1.75,1.99,-1.30,6.39
1960,44476000,2072000,1179000,893000,46.10,26.20,19.90,6.36,172.40,1.98,1.76,2.01,-1.40,6.38
1961,45381000,2120000,1192000,928000,46.20,26.00,20.20,6.35,171.00,2.03,1.78,2.04,-1.40,6.37
1962,46330000,2174000,1214000,960000,46.40,25.90,20.50,6.36,169.60,2.09,1.79,2.07,-1.40,6.36
1963,47314000,2220000,1224000,996000,46.40,25.60,20.80,6.35,167.20,2.12,1.81,2.11,-2.40,6.35
1964,48332000,2270000,1242000,1028000,46.50,25.40,21.00,6.36,165.90,2.15,1.83,2.13,-1.30,6.36
1965,49381000,2320000,1258000,1061000,46.50,25.20,21.30,6.37,165.00,2.17,1.84,2.15,-0.90,6.36
1966,50471000,2373000,1281000,1092000,46.50,25.10,21.40,6.39,164.20,2.21,1.85,2.16,-0.80,6.38
1967,51570000,2424000,1365000,1059000,46.50,26.20,20.30,6.40,165.80,2.18,1.78,2.05,1.60,6.39
1968,52643000,2478000,1349000,1129000,46.60,25.40,21.20,6.42,163.60,2.08,1.84,2.14,-2.20,6.41
1969,53577000,2533000,1367000,1166000,46.60,25.20,21.40,6.44,162.60,1.77,1.85,2.18,-1.00,6.42
1970,54945000,2595000,1353000,1241000,46.70,24.30,22.30,6.47,160.70,2.55,1.92,2.26,-1.90,6.45
1971,56194000,2671000,1348000,1323000,47.00,23.70,23.30,6.53,156.90,2.27,1.98,2.35,-3.80,6.49
1972,57481000,2741000,1343000,1398000,47.10,23.10,24.00,6.58,153.00,2.29,2.04,2.43,-3.90,6.53
1973,58866000,2819000,1341000,1479000,47.30,22.50,24.80,6.63,149.00,2.41,2.10,2.51,-4.00,6.58
1974,60344000,2922000,1340000,1583000,47.80,21.90,25.90,6.70,144.90,2.51,2.18,2.62,-4.10,6.64
1975,61971000,3021000,1336000,1684000,48.10,21.30,26.80,6.77,141.00,2.70,2.26,2.72,-3.90,6.70
1976,63731000,3106000,1324000,1781000,48.10,20.50,27.60,6.81,137.20,2.84,2.35,2.79,-3.80,6.76
1977,65585000,3203000,1323000,1880000,48.10,19.90,28.20,6.86,133.80,2.91,2.42,2.87,-3.40,6.82
1978,67594000,3308000,1340000,1968000,48.20,19.50,28.70,6.92,130.70,3.06,2.47,2.91,-3.10,6.87
1979,69673000,3385000,1367000,2017000,47.90,19.30,28.50,6.89,128.10,3.08,2.48,2.89,-2.60,6.88
1980,71828000,3460000,1397000,2063000,47.50,19.20,28.30,6.85,126.10,3.09,2.48,2.87,-2.00,6.89
1981,74075000,3537000,1426000,2111000,47.10,19.00,28.10,6.82,124.40,3.13,2.48,2.85,-1.70,6.86
1982,76276000,3613000,1462000,2151000,46.70,18.90,27.80,6.80,123.50,2.97,2.47,2.82,-0.90,6.83
1983,78500000,3704000,1494000,2210000,46.50,18.80,27.80,6.78,123.10,2.92,2.48,2.82,-0.40,6.80
1984,80203000,3726000,1524000,2202000,45.80,18.70,27.10,6.70,123.20,2.17,2.44,2.75,0.10,6.75
1985,82472000,3777000,1571000,2206000,45.20,18.80,26.40,6.62,123.50,2.83,2.40,2.67,0.30,6.70
1986,84698000,3824000,1624000,2200000,44.60,18.90,25.60,6.56,123.90,2.70,2.35,2.60,0.40,6.63
1987,86910000,3884000,1656000,2228000,44.10,18.80,25.30,6.50,124.30,2.61,2.35,2.56,0.40,6.56
1988,89178000,3963000,1689000,2274000,43.90,18.70,25.20,6.50,124.60,2.61,2.35,2.55,0.30,6.53
